                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7854,                 1.4431,                 1.4596,                0.87325,                0.86207,                0.87593,                0.45901,                 1.5914,                 1.0839,                 1.2825,                 0.0739,                 0.0029,                 0.0029
                      1,                 1.5132,                0.96424,                 1.2677,                0.77636,                0.74818,                 0.8007,                0.36947,                 1.8575,                 1.0042,                 1.3424,               0.046666,              0.0056664,              0.0056664
                      2,                 1.5304,                 1.0068,                 1.2187,                0.87726,                0.80172,                0.89104,                0.45503,                 1.6663,                 1.5708,                 1.3175,               0.019195,              0.0081951,              0.0081951
                      3,                 1.5187,                 1.0042,                 1.2452,                0.80975,                0.81897,                0.84289,                0.42815,                 1.7275,                 1.2715,                 1.4329,               0.008812,               0.008812,               0.008812
                      4,                 1.5409,                 1.0634,                 1.2663,                0.87708,                0.73818,                0.83714,                0.43224,                 1.7313,                0.97248,                 1.4214,               0.008812,               0.008812,               0.008812
                      5,                  1.578,                 1.0197,                 1.2632,                0.91967,                0.76724,                0.86072,                0.42511,                 1.7025,                 1.0883,                 1.3791,               0.008416,               0.008416,               0.008416
                      6,                 1.5014,                 1.0149,                 1.2503,                0.79681,                0.70997,                 0.7845,                0.40659,                 1.7763,                 0.9915,                 1.4173,                0.00802,                0.00802,                0.00802
                      7,                 1.4997,                0.99273,                 1.2541,                0.86576,                 0.7784,                0.87097,                0.45502,                 1.6811,                 1.1815,                 1.3868,               0.007624,               0.007624,               0.007624
                      8,                 1.5285,                 1.0291,                 1.2684,                0.89346,                0.79527,                0.89918,                0.47331,                  1.627,                 0.9336,                 1.3377,               0.007228,               0.007228,               0.007228
                      9,                 1.5034,                0.99221,                 1.2627,                0.86678,                0.78528,                0.87221,                0.46412,                 1.6817,                 1.0717,                 1.3543,               0.006832,               0.006832,               0.006832
                     10,                 1.5115,                0.96171,                 1.2704,                0.89218,                0.78466,                0.90549,                0.49133,                 1.5877,                0.88047,                 1.3032,               0.006436,               0.006436,               0.006436
                     11,                 1.4938,                0.90554,                 1.2373,                0.96018,                0.72414,                 0.8786,                0.49638,                 1.5578,                0.93542,                 1.2837,                0.00604,                0.00604,                0.00604
                     12,                 1.4266,                 0.9144,                 1.2143,                0.95892,                0.73276,                0.85968,                0.45699,                  1.646,                0.92968,                 1.3552,               0.005644,               0.005644,               0.005644
                     13,                 1.4232,                 0.8817,                 1.2114,                0.86113,                   0.75,                0.83366,                0.45135,                 1.6115,                0.92047,                 1.3091,               0.005248,               0.005248,               0.005248
                     14,                 1.4166,                0.90192,                 1.2149,                0.92801,                0.77586,                0.89699,                0.50713,                 1.5449,                0.84362,                 1.2775,               0.004852,               0.004852,               0.004852
                     15,                 1.2785,                0.75331,                 1.1636,                 0.8896,                0.83364,                0.91369,                0.50325,                 1.5222,                0.82933,                  1.268,               0.004456,               0.004456,               0.004456
                     16,                 1.2875,                0.72373,                 1.1616,                0.91667,                0.80172,                0.91464,                0.50949,                 1.5304,                 0.8084,                 1.2657,                0.00406,                0.00406,                0.00406
                     17,                 1.2783,                0.71562,                  1.164,                0.92901,                0.78967,                0.91878,                0.51656,                  1.493,                0.79724,                 1.2605,               0.003664,               0.003664,               0.003664
                     18,                 1.2724,                0.71379,                 1.1571,                0.94234,                0.77586,                 0.9049,                0.52302,                  1.488,                0.80455,                   1.25,               0.003268,               0.003268,               0.003268
                     19,                  1.245,                 0.7054,                 1.1397,                0.91548,                 0.8404,                0.90905,                0.52618,                 1.4927,                0.76785,                 1.2541,               0.002872,               0.002872,               0.002872
                     20,                 1.1842,                0.65553,                 1.1177,                0.92238,                0.81034,                0.92776,                0.54717,                 1.4754,                0.73126,                 1.2473,               0.002476,               0.002476,               0.002476
                     21,                 1.1792,                0.63083,                 1.1056,                0.92398,                0.83831,                0.92628,                0.52127,                  1.539,                0.77056,                 1.2806,                0.00208,                0.00208,                0.00208
                     22,                 1.1559,                 0.5949,                  1.101,                0.94973,                0.81432,                0.93395,                0.53678,                 1.5474,                0.75707,                 1.2675,               0.001684,               0.001684,               0.001684
                     23,                 1.1431,                0.59222,                 1.0882,                0.97021,                0.80172,                0.94416,                0.53449,                 1.5642,                0.72265,                 1.2831,               0.001288,               0.001288,               0.001288
                     24,                 1.1116,                0.57731,                 1.0763,                0.91725,                   0.86,                0.95067,                0.55525,                 1.5089,                0.70438,                 1.2402,               0.000892,               0.000892,               0.000892
